Bookmark,Frame#,Role,Addr.,ctype,Response,Error code,OpCode,Operation ID,State_flag,PDU ID,Pkt type,Cap Id,Frame Size,Delta,Timestamp,
,423,CT,1,NOTIFY,,,VENDOR-DEPENDENT,,,Register Notification,Non-Fragmented,,27,="",="6/4/2014 8:26:24.985669 PM",
,425,TG,1,,INTERIM,,VENDOR-DEPENDENT,,,Register Notification,Non-Fragmented,,31,=" 00:00:00.002716",="6/4/2014 8:26:24.988385 PM",
,433,CT,1,NOTIFY,,,VENDOR-DEPENDENT,,,Register Notification,Non-Fragmented,,27,=" 00:00:00.037923",="6/4/2014 8:26:25.026308 PM",
,435,TG,1,,INTERIM,,VENDOR-DEPENDENT,,,Register Notification,Non-Fragmented,,31,=" 00:00:00.004163",="6/4/2014 8:26:25.030471 PM",
,456,CT,1,CONTROL,,,PASS THROUGH,play,Button Pushed,,,,17,=" 00:00:07.484779",="6/4/2014 8:26:32.515250 PM",
,457,TG,1,,ACCEPTED,,PASS THROUGH,play,Button Pushed,,,,17,=" 00:00:00.001646",="6/4/2014 8:26:32.516896 PM",
,459,CT,1,CONTROL,,,PASS THROUGH,play,Button Released,,,,17,=" 00:00:00.054880",="6/4/2014 8:26:32.571776 PM",
,460,TG,1,,ACCEPTED,,PASS THROUGH,play,Button Released,,,,17,=" 00:00:00.001361",="6/4/2014 8:26:32.573137 PM",
,484,CT,1,CONTROL,,,PASS THROUGH,pause,Button Pushed,,,,17,=" 00:00:32.883417",="6/4/2014 8:27:05.456554 PM",
,485,TG,1,,ACCEPTED,,PASS THROUGH,pause,Button Pushed,,,,17,=" 00:00:00.002150",="6/4/2014 8:27:05.458704 PM",
,487,CT,1,CONTROL,,,PASS THROUGH,pause,Button Released,,,,17,=" 00:00:00.058028",="6/4/2014 8:27:05.516732 PM",
,488,TG,1,,ACCEPTED,,PASS THROUGH,pause,Button Released,,,,17,=" 00:00:00.001352",="6/4/2014 8:27:05.518084 PM",
,490,CT,1,CONTROL,,,PASS THROUGH,pause,Button Pushed,,,,17,=" 00:00:02.041266",="6/4/2014 8:27:07.559350 PM",
,491,TG,1,,ACCEPTED,,PASS THROUGH,pause,Button Pushed,,,,17,=" 00:00:00.001613",="6/4/2014 8:27:07.560963 PM",
,493,CT,1,CONTROL,,,PASS THROUGH,pause,Button Released,,,,17,=" 00:00:00.057035",="6/4/2014 8:27:07.617998 PM",
