Bookmark,Frame#,Role,Addr.,Hands-Free data,AT Cmd,Indication,Response,Frame Size,Delta,Timestamp,
,175,Slave,1,AT+BRSF=26.,Retrieve AG Supported Features,,,24,="",="6/27/2014 3:26:29.069708 PM",
,176,Master,1,..+BRSF: 615..,,,Retrieved AG Supported Features,28,=" 00:00:00.000837",="6/27/2014 3:26:29.070545 PM",
,177,Master,1,..OK..,,,Success,19,=" 00:00:00.000553",="6/27/2014 3:26:29.071098 PM",
,183,Master,1,AT+CIND=?.,Get supported indicators,,,24,=" 00:00:00.368056",="6/27/2014 3:26:29.439154 PM",
,184,,,,,,,140,=" 00:00:00.004852",="6/27/2014 3:26:29.444006 PM",
,185,* Slave,* 1,* ..+CIND: ("call"(01))("callsetup"(0-3))("service"(0-1))("signal"(0-5))("roam"(01))("battchg"(0-5))("callheld"(0-2))..,,,* Indicators supported,19,=" 00:00:00.003495",="6/27/2014 3:26:29.447501 PM",
,186,Slave,1,..OK..,,,Success,19,=" 00:00:00.003208",="6/27/2014 3:26:29.450709 PM",
,190,Master,1,AT+CIND?.,Get indicators' status,,,23,=" 00:00:00.214651",="6/27/2014 3:26:29.665360 PM",
,191,Slave,1,..+CIND: 0000040..,,,Indicators' status,38,=" 00:00:00.001235",="6/27/2014 3:26:29.666595 PM",
,192,Slave,1,..OK..,,,Success,19,=" 00:00:00.000536",="6/27/2014 3:26:29.667131 PM",
,196,* Master,* 1,* AT+CMER=3 0 0 1.,* Enable "indicators' status reporting",,,6,=" 00:00:00.178976",="6/27/2014 3:26:29.846107 PM",
,197,Slave,1,..OK..,,,Success,20,=" 00:00:00.010759",="6/27/2014 3:26:29.856866 PM",
,199,Master,1,AT+CHLD=?.,Retrieve "Three way calling" Info,,,24,=" 00:00:00.106322",="6/27/2014 3:26:29.963188 PM",
,200,Slave,1,..+CHLD: (0123)..,,,Three Way Calling Info,34,=" 00:00:00.001783",="6/27/2014 3:26:29.964971 PM",
,201,Slave,1,..OK..,,,Success,19,=" 00:00:00.000453",="6/27/2014 3:26:29.965424 PM",
,202,Slave,1,..+CIEV: 31..,,Service availability indicator's status report,,27,=" 00:00:00.005935",="6/27/2014 3:26:29.971359 PM",
,203,Slave,1,..+CIEV: 43..,,Signal indicator's status report,,27,=" 00:00:00.006174",="6/27/2014 3:26:29.977533 PM",
,208,Master,1,AT+CCWA=1.,Enable call waiting notification,,,24,=" 00:00:00.381905",="6/27/2014 3:26:30.359438 PM",
