Bookmark,Frame#,Role,Addr.,ctype,Response,Error code,OpCode,Operation ID,State_flag,PDU ID,Pkt type,Cap Id,Frame Size,Delta,Timestamp,
,1476,CT,1,STATUS,,,VENDOR-DEPENDENT,,,Get Capabilities,Non-Fragmented,Events Supported,30,="",="6/25/2014 11:10:09.879684 AM",
,1478,TG,1,,IMPLEMENTED/STABLE,,VENDOR-DEPENDENT,,,Get Capabilities,Non-Fragmented,Events Supported,35,=" 00:00:00.108127",="6/25/2014 11:10:09.987811 AM",
,1482,CT,1,CONTROL,,,VENDOR-DEPENDENT,,,Inform Displayable Character Set,Non-Fragmented,,32,=" 00:00:00.046874",="6/25/2014 11:10:10.034685 AM",
,1484,TG,1,,ACCEPTED,,VENDOR-DEPENDENT,,,Inform Displayable Character Set,Non-Fragmented,,29,=" 00:00:00.003127",="6/25/2014 11:10:10.037812 AM",
,1485,CT,1,NOTIFY,,,VENDOR-DEPENDENT,,,Register Notification,Non-Fragmented,,34,=" 00:00:00.005623",="6/25/2014 11:10:10.043435 AM",
,1486,TG,1,,INTERIM,,VENDOR-DEPENDENT,,,Register Notification,Non-Fragmented,,31,=" 00:00:00.006877",="6/25/2014 11:10:10.050312 AM",
,1487,CT,1,CONTROL,,,PASS THROUGH,play,Button Pushed,,,,24,=" 00:00:00.011873",="6/25/2014 11:10:10.062185 AM",
,1488,TG,1,,ACCEPTED,,PASS THROUGH,play,Button Pushed,,,,24,=" 00:00:00.011877",="6/25/2014 11:10:10.074062 AM",
,1489,CT,1,CONTROL,,,PASS THROUGH,play,Button Released,,,,24,=" 00:00:00.005623",="6/25/2014 11:10:10.079685 AM",
,1490,TG,1,,ACCEPTED,,PASS THROUGH,play,Button Released,,,,24,=" 00:00:00.001877",="6/25/2014 11:10:10.081562 AM",
,1491,CT,1,NOTIFY,,,VENDOR-DEPENDENT,,,Register Notification,Non-Fragmented,,34,=" 00:00:00.010623",="6/25/2014 11:10:10.092185 AM",
,1493,TG,1,,INTERIM,,VENDOR-DEPENDENT,,,Register Notification,Non-Fragmented,,38,=" 00:00:00.033127",="6/25/2014 11:10:10.125312 AM",
,1494,CT,1,STATUS,,,VENDOR-DEPENDENT,,,Get Element Attribute,Non-Fragmented,,66,=" 00:00:00.021873",="6/25/2014 11:10:10.147185 AM",
,1495,TG,1,,IMPLEMENTED/STABLE,,VENDOR-DEPENDENT,,,Get Element Attribute,Non-Fragmented,,180,=" 00:00:00.020627",="6/25/2014 11:10:10.167812 AM",
,1497,CT,1,NOTIFY,,,VENDOR-DEPENDENT,,,Register Notification,Non-Fragmented,,34,=" 00:00:00.009373",="6/25/2014 11:10:10.177185 AM",
,1498,TG,1,,INTERIM,,VENDOR-DEPENDENT,,,Register Notification,Non-Fragmented,,34,=" 00:00:00.004377",="6/25/2014 11:10:10.181562 AM",
,1500,CT,1,STATUS,,,VENDOR-DEPENDENT,,,List Player Application Setting Attributes,Non-Fragmented,,29,=" 00:00:00.023123",="6/25/2014 11:10:10.204685 AM",
,1501,TG,1,,IMPLEMENTED/STABLE,,VENDOR-DEPENDENT,,,List Player Application Setting Attributes,Non-Fragmented,,32,=" 00:00:00.006877",="6/25/2014 11:10:10.211562 AM",
,1505,CT,1,STATUS,,,VENDOR-DEPENDENT,,,List Player Application Setting Value,Non-Fragmented,,30,=" 00:00:00.054374",="6/25/2014 11:10:10.265936 AM",
,1506,TG,1,,IMPLEMENTED/STABLE,,VENDOR-DEPENDENT,,,List Player Application Setting Value,Non-Fragmented,,33,=" 00:00:00.011877",="6/25/2014 11:10:10.277813 AM",
,1513,CT,1,STATUS,,,VENDOR-DEPENDENT,,,List Player Application Setting Value,Non-Fragmented,,30,=" 00:00:00.106873",="6/25/2014 11:10:10.384686 AM",
,1514,TG,1,,IMPLEMENTED/STABLE,,VENDOR-DEPENDENT,,,List Player Application Setting Value,Non-Fragmented,,32,=" 00:00:00.016877",="6/25/2014 11:10:10.401563 AM",
,1518,CT,1,STATUS,,,VENDOR-DEPENDENT,,,Get Current Player Application Setting Value,Non-Fragmented,,32,=" 00:00:00.036873",="6/25/2014 11:10:10.438436 AM",
,1519,TG,1,,IMPLEMENTED/STABLE,,VENDOR-DEPENDENT,,,Get Current Player Application Setting Value,Non-Fragmented,,34,=" 00:00:00.009377",="6/25/2014 11:10:10.447813 AM",
,1521,CT,1,STATUS,,,VENDOR-DEPENDENT,,,Get Player Application Setting Value Text,Non-Fragmented,,35,=" 00:00:00.023124",="6/25/2014 11:10:10.470937 AM",
,1523,TG,1,,IMPLEMENTED/STABLE,,VENDOR-DEPENDENT,,,Get Player Application Setting Value Text,Non-Fragmented,,88,=" 00:00:00.014376",="6/25/2014 11:10:10.485313 AM",
,1526,CT,1,STATUS,,,VENDOR-DEPENDENT,,,Get Player Application Setting Value Text,Non-Fragmented,,34,=" 00:00:00.040624",="6/25/2014 11:10:10.525937 AM",
,1527,TG,1,,IMPLEMENTED/STABLE,,VENDOR-DEPENDENT,,,Get Player Application Setting Value Text,Non-Fragmented,,69,=" 00:00:00.015627",="6/25/2014 11:10:10.541564 AM",
,1531,CT,1,NOTIFY,,,VENDOR-DEPENDENT,,,Register Notification,Non-Fragmented,,34,=" 00:00:00.043123",="6/25/2014 11:10:10.584687 AM",
,1532,TG,1,,INTERIM,,VENDOR-DEPENDENT,,,Register Notification,Non-Fragmented,,35,=" 00:00:00.006877",="6/25/2014 11:10:10.591564 AM",
,1630,CT,1,CONTROL,,,PASS THROUGH,play,Button Pushed,,,,24,=" 00:00:01.513129",="6/25/2014 11:10:12.104693 AM",
,1631,TG,1,,ACCEPTED,,PASS THROUGH,play,Button Pushed,,,,24,=" 00:00:00.006877",="6/25/2014 11:10:12.111570 AM",
,1633,CT,1,CONTROL,,,PASS THROUGH,play,Button Released,,,,24,=" 00:00:00.006873",="6/25/2014 11:10:12.118443 AM",
,1634,TG,1,,ACCEPTED,,PASS THROUGH,play,Button Released,,,,24,=" 00:00:00.004377",="6/25/2014 11:10:12.122820 AM",
,1886,CT,1,CONTROL,,,PASS THROUGH,play,Button Pushed,,,,24,=" 00:00:04.986892",="6/25/2014 11:10:17.109712 AM",
,1887,TG,1,,ACCEPTED,,PASS THROUGH,play,Button Pushed,,,,24,=" 00:00:00.011877",="6/25/2014 11:10:17.121589 AM",
,1889,CT,1,CONTROL,,,PASS THROUGH,play,Button Released,,,,24,=" 00:00:00.006873",="6/25/2014 11:10:17.128462 AM",
,1890,TG,1,,ACCEPTED,,PASS THROUGH,play,Button Released,,,,24,=" 00:00:00.001877",="6/25/2014 11:10:17.130339 AM",
,4082,TG,1,,CHANGED,,VENDOR-DEPENDENT,,,Register Notification,Non-Fragmented,,31,=" 00:00:40.570159",="6/25/2014 11:10:57.700498 AM",
,4084,CT,1,STATUS,,,VENDOR-DEPENDENT,,,Get Element Attribute,Non-Fragmented,,66,=" 00:00:00.034373",="6/25/2014 11:10:57.734871 AM",
,4086,TG,1,,IMPLEMENTED/STABLE,,VENDOR-DEPENDENT,,,Get Element Attribute,Non-Fragmented,,90,=" 00:00:00.004377",="6/25/2014 11:10:57.739248 AM",
,4087,CT,1,NOTIFY,,,VENDOR-DEPENDENT,,,Register Notification,Non-Fragmented,,34,=" 00:00:00.010623",="6/25/2014 11:10:57.749871 AM",
,4088,TG,1,,INTERIM,,VENDOR-DEPENDENT,,,Register Notification,Non-Fragmented,,31,=" 00:00:00.011877",="6/25/2014 11:10:57.761748 AM",
,7415,CT,1,CONTROL,,,PASS THROUGH,pause,Button Pushed,,,,24,=" 00:01:04.418380",="6/25/2014 11:12:02.180128 AM",
,7416,TG,1,,ACCEPTED,,PASS THROUGH,pause,Button Pushed,,,,24,=" 00:00:00.001877",="6/25/2014 11:12:02.182005 AM",
,7417,CT,1,CONTROL,,,PASS THROUGH,pause,Button Released,,,,24,=" 00:00:00.008123",="6/25/2014 11:12:02.190128 AM",
,7418,TG,1,,ACCEPTED,,PASS THROUGH,pause,Button Released,,,,24,=" 00:00:00.006877",="6/25/2014 11:12:02.197005 AM",
,7584,CT,1,STATUS,,,VENDOR-DEPENDENT,,,Get Element Attribute,Non-Fragmented,,86,=" 00:00:08.883158",="6/25/2014 11:12:11.080163 AM",
,7585,TG,1,,IMPLEMENTED/STABLE,,VENDOR-DEPENDENT,,,Get Element Attribute,Non-Fragmented,,90,=" 00:00:00.021877",="6/25/2014 11:12:11.102040 AM",
,7590,CT,1,CONTROL,,,PASS THROUGH,pause,Button Pushed,,,,24,=" 00:00:02.870635",="6/25/2014 11:12:13.972675 AM",
,7592,TG,1,,ACCEPTED,,PASS THROUGH,pause,Button Pushed,,,,24,=" 00:00:00.025627",="6/25/2014 11:12:13.998302 AM",
,7593,CT,1,CONTROL,,,PASS THROUGH,pause,Button Released,,,,24,=" 00:00:00.006873",="6/25/2014 11:12:14.005175 AM",
,7594,TG,1,,ACCEPTED,,PASS THROUGH,pause,Button Released,,,,24,=" 00:00:00.006877",="6/25/2014 11:12:14.012052 AM",
,7598,CT,1,STATUS,,,VENDOR-DEPENDENT,,,Get Element Attribute,Non-Fragmented,,86,=" 00:00:08.334406",="6/25/2014 11:12:22.346458 AM",
