


		BTSNOOP LOG HANDSFREE LAYER ANALYSIS

ATT Commands by Slave
AT+BRSF=26.
ATT Commands by Master
AT+CHLD=2.
* AT+CIND=?.
AT+BRSF=26.
AT+VGM=1.
AT+VGM=3.
AT+VGM=7.
AT+VGM=4.
AT+VGS=11.
AT+VGS=15.
AT+VGS=13.
AT+VGM=8.
AT+CCWA=1.
* AT+CMER=3 0 0 1.
AT+CHLD=3.
AT+CIND=?.
AT+VGM=10.
AT+VGS=09.
AT+VGM=2.
AT+CHLD=?.
AT+CIND?.
AT+VGM=6.
AT+CHUP.
AT+VGM=0.
AT+BTRH?.
AT+VGM=5.
AT+VGM=9.
AT+VGM=15.
AT+VGM=11.
Frame#	By	Command		Response		AT Info

--------------------------------------------------------------------------------
176	Slave	AT+BRSF=26		+BRSF:615..		Retrieve AG Supported Features..
177	Slave	AT+BRSF=26		OK..		Retrieve AG Supported Features..
184	Master	AT+CIND=?				Get supported indicators
185	Master	AT+CIND=?		+CIND:call01..		Get supported indicators..
186	Master	AT+CIND=?		OK		Get supported indicators
191	Master	AT+CIND?		+CIND:000004..		Get indicators' status..
192	Master	AT+CIND?		OK		Get indicators' status
197	Master	AT+CMER=3001		OK..		* Enable "indicators' status r..
200	Master	AT+CHLD=?		+CHLD:0123..		Retrieve "Three way calling" I..
201	Master	AT+CHLD=?		OK..		Retrieve "Three way calling" I..
202	Master	AT+CHLD=?		+CIEV:31..		Retrieve "Three way calling" I..
209	Master	AT+CCWA=1		OK..		Enable call waiting notificati..
212	Master	AT+BTRH?		ERROR		Query the current "response an..
215	Master	AT+VGS=15		OK		Current speaker gain: 15
218	Master	AT+VGM=15		OK		Current microphone gain: 15
424	Master	AT+BRSF=26		+BRSF:615..		Retrieve AG Supported Features..
425	Master	AT+BRSF=26		OK..		Retrieve AG Supported Features..
544	M (HF)	AT+BRSF=26		+BRSF:615..		Retrieve AG Supported Features..
545	M (HF)	AT+BRSF=26		OK..		Retrieve AG Supported Features..
549	M (HF)	AT+CIND=?				Get supported indicators
550	M (HF)	AT+CIND=?		+CIND:call01..		Get supported indicators..
551	M (HF)	AT+CIND=?		OK		Get supported indicators
556	M (HF)	AT+CIND?		+CIND:101503..		Get indicators' status..
557	M (HF)	AT+CIND?		OK		Get indicators' status
562	M (HF)	AT+CMER=3001		OK..		* Enable "indicators' status r..
565	M (HF)	AT+CHLD=?		+CHLD:0123..		Retrieve "Three way calling" I..
566	M (HF)	AT+CHLD=?		OK..		Retrieve "Three way calling" I..
574	M (HF)	AT+CCWA=1		OK..		Enable call waiting notificati..
578	M (HF)	AT+VGS=15		OK		Current speaker gain: 15
582	M (HF)	AT+VGM=15		OK		Current microphone gain: 15
585	M (HF)	AT+CHLD=2		OK..		Execute "Call hold and multipa..
587	M (HF)	AT+CHLD=2		+CIEV:71..		Execute "Call hold and multipa..
615	M (HF)	AT+VGM=0		OK		Current microphone gain: 0
618	M (HF)	AT+VGS=13		OK		Current speaker gain: 13
621	M (HF)	AT+VGM=0		OK		Current microphone gain: 0
624	M (HF)	AT+VGS=11		OK		Current speaker gain: 11
627	M (HF)	AT+VGM=11		OK		Current microphone gain: 11
